MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  11:56:51        4.554141       0.7782     --------     5.462850          1
MinModeTranslate:    0  11:56:51        4.554141       0.7782     0.100000     5.462850          1
MinModeTranslate:    1  11:56:51        4.654587       1.1899     --------     2.648885          1
MinModeTranslate:    1  11:56:51        4.654587       1.1899     0.100000     2.648885          1
MinModeTranslate:    2  11:56:51        4.783261       1.3402     --------     0.548844          1
MinModeTranslate:    2  11:56:51        4.783261       1.3402     0.100000     0.548844          1
MinModeTranslate:    3  11:56:51        4.917754       1.3402     --------    -0.738359          1
MinModeTranslate:    3  11:56:51        4.917754       1.3402     0.100000    -0.738359          1
MinModeTranslate:    4  11:56:51        5.044176       1.2378     --------    -1.294465          1
MinModeTranslate:    4  11:56:51        5.044176       1.2378     0.100000    -1.294465          1
MinModeTranslate:    5  11:56:51        5.157130       1.0813     --------    -1.652174          1
MinModeTranslate:    5  11:56:51        5.157130       1.0813     0.100000    -1.652174          1
MinModeTranslate:    6  11:56:51        5.256199       0.9478     --------    -1.525132          1
MinModeTranslate:    6  11:56:51        5.256199       0.9478     0.100000    -1.525132          1
MinModeTranslate:    7  11:56:51        5.337861       0.8359     --------    -1.762872          1
MinModeTranslate:    7  11:56:51        5.337861       0.8359     0.100000    -1.762872          1
MinModeTranslate:    8  11:56:51        5.406787       0.8906     --------    -1.136667          1
MinModeTranslate:    8  11:56:51        5.406787       0.8906     0.100000    -1.136667          1
MinModeTranslate:    9  11:56:51        5.451449       0.5022     --------    -1.217133          1
MinModeTranslate:    9  11:56:52        5.451449       0.5022     0.100000    -1.217133          1
MinModeTranslate:   10  11:56:52        5.496922       0.6281     --------    -1.411998          1
MinModeTranslate:   10  11:56:52        5.496922       0.6281     0.097523    -1.411998          1
MinModeTranslate:   11  11:56:52        5.526061       0.6013     --------    -0.762602          1
MinModeTranslate:   11  11:56:52        5.526061       0.6013     0.100000    -0.762602          1
MinModeTranslate:   12  11:56:52        5.551694       0.7148     --------    -0.592140          1
MinModeTranslate:   12  11:56:52        5.551694       0.7148     0.047583    -0.592140          1
MinModeTranslate:   13  11:56:52        5.547100       0.2324     --------    -1.035134          1
MinModeTranslate:   13  11:56:52        5.547100       0.2324     0.100000    -1.035134          1
MinModeTranslate:   14  11:56:52        5.556868       0.2341     --------    -1.024683          1
MinModeTranslate:   14  11:56:52        5.556868       0.2341     0.009603    -1.024683          1
MinModeTranslate:   15  11:56:52        5.556016       0.0467     --------    -0.897748          0
MinModeTranslate:   15  11:56:52        5.556016       0.0467     0.050656    -0.897748          0
MinModeTranslate:   16  11:56:52        5.557166       0.0175     --------    -0.891336          1
MinModeTranslate:   16  11:56:52        5.557166       0.0175     0.000686    -0.891336          1
MinModeTranslate:   17  11:56:52        5.557161       0.0003     --------    -0.900467          0
MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  11:58:53        4.554141       0.7782     --------     5.462850          1
MinModeTranslate:    0  11:58:53        4.554141       0.7782     0.100000     5.462850          1
MinModeTranslate:    1  11:58:53        4.654587       1.1899     --------     2.648885          1
MinModeTranslate:    1  11:58:53        4.654587       1.1899     0.100000     2.648885          1
MinModeTranslate:    2  11:58:53        4.783261       1.3402     --------     0.548844          1
MinModeTranslate:    2  11:58:53        4.783261       1.3402     0.100000     0.548844          1
MinModeTranslate:    3  11:58:53        4.917754       1.3402     --------    -0.738359          1
MinModeTranslate:    3  11:58:53        4.917754       1.3402     0.100000    -0.738359          1
MinModeTranslate:    4  11:58:53        5.044176       1.2378     --------    -1.294465          1
MinModeTranslate:    4  11:58:53        5.044176       1.2378     0.100000    -1.294465          1
MinModeTranslate:    5  11:58:53        5.157130       1.0813     --------    -1.652174          1
MinModeTranslate:    5  11:58:53        5.157130       1.0813     0.100000    -1.652174          1
MinModeTranslate:    6  11:58:53        5.256199       0.9478     --------    -1.525132          1
MinModeTranslate:    6  11:58:53        5.256199       0.9478     0.100000    -1.525132          1
MinModeTranslate:    7  11:58:53        5.337861       0.8359     --------    -1.762872          1
MinModeTranslate:    7  11:58:53        5.337861       0.8359     0.100000    -1.762872          1
MinModeTranslate:    8  11:58:53        5.406787       0.8906     --------    -1.136667          1
MinModeTranslate:    8  11:58:53        5.406787       0.8906     0.100000    -1.136667          1
MinModeTranslate:    9  11:58:53        5.451449       0.5022     --------    -1.217133          1
MinModeTranslate:    9  11:58:53        5.451449       0.5022     0.100000    -1.217133          1
MinModeTranslate:   10  11:58:53        5.496922       0.6281     --------    -1.411998          1
MinModeTranslate:   10  11:58:53        5.496922       0.6281     0.097523    -1.411998          1
MinModeTranslate:   11  11:58:53        5.526061       0.6013     --------    -0.762602          1
MinModeTranslate:   11  11:58:53        5.526061       0.6013     0.100000    -0.762602          1
MinModeTranslate:   12  11:58:53        5.551694       0.7148     --------    -0.592140          1
MinModeTranslate:   12  11:58:53        5.551694       0.7148     0.047583    -0.592140          1
MinModeTranslate:   13  11:58:53        5.547100       0.2324     --------    -1.035134          1
MinModeTranslate:   13  11:58:53        5.547100       0.2324     0.100000    -1.035134          1
MinModeTranslate:   14  11:58:53        5.556868       0.2341     --------    -1.024683          1
MinModeTranslate:   14  11:58:53        5.556868       0.2341     0.009603    -1.024683          1
MinModeTranslate:   15  11:58:53        5.556016       0.0467     --------    -0.897748          0
MinModeTranslate:   15  11:58:53        5.556016       0.0467     0.050656    -0.897748          0
MinModeTranslate:   16  11:58:53        5.557166       0.0175     --------    -0.891336          1
MinModeTranslate:   16  11:58:53        5.557166       0.0175     0.000686    -0.891336          1
MinModeTranslate:   17  11:58:53        5.557161       0.0003     --------    -0.900467          0
